INFO  - 2013-06-26 16:27:36.991; org.apache.solr.core.SolrCore; solr.StandardDirectoryFactory
INFO  - 2013-06-26 16:27:36.991; org.apache.solr.core.SolrCore; solr.StandardDirectoryFactory
INFO  - 2013-06-26 16:27:37.000; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/jpadams/Documents/workspace/pds4-workspace/search/search-service/search-service-1.3.0-dev/pds/data
INFO  - 2013-06-26 16:27:37.000; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/jpadams/Documents/workspace/pds4-workspace/search/search-service/search-service-1.3.0-dev/experimental/data
INFO  - 2013-06-26 16:27:37.000; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/Users/jpadams/Documents/workspace/pds4-workspace/search/search-service/search-service-1.3.0-dev/pds/data/index/
INFO  - 2013-06-26 16:27:37.000; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/Users/jpadams/Documents/workspace/pds4-workspace/search/search-service/search-service-1.3.0-dev/experimental/data/index/
INFO  - 2013-06-26 16:27:37.001; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/jpadams/Documents/workspace/pds4-workspace/search/search-service/search-service-1.3.0-dev/experimental/data/index
INFO  - 2013-06-26 16:27:37.001; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/jpadams/Documents/workspace/pds4-workspace/search/search-service/search-service-1.3.0-dev/pds/data/index
INFO  - 2013-06-26 16:27:37.008; org.apache.solr.core.SolrCore; created xslt: gov.nasa.pds.search.XSLTResponseWriter
INFO  - 2013-06-26 16:27:37.008; org.apache.solr.core.SolrCore; created xslt: gov.nasa.pds.search.XSLTResponseWriter
INFO  - 2013-06-26 16:27:37.008; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2013-06-26 16:27:37.008; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2013-06-26 16:27:37.074; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2013-06-26 16:27:37.074; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.ReplicationHandler
INFO  - 2013-06-26 16:27:37.074; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2013-06-26 16:27:37.075; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.ReplicationHandler
INFO  - 2013-06-26 16:27:37.075; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2013-06-26 16:27:37.075; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2013-06-26 16:27:37.077; org.apache.solr.core.RequestHandlers; created standard: solr.StandardRequestHandler
INFO  - 2013-06-26 16:27:37.077; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2013-06-26 16:27:37.077; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2013-06-26 16:27:37.077; org.apache.solr.core.RequestHandlers; created standard: solr.StandardRequestHandler
INFO  - 2013-06-26 16:27:37.078; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2013-06-26 16:27:37.078; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2013-06-26 16:27:37.081; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2013-06-26 16:27:37.081; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2013-06-26 16:27:37.082; org.apache.solr.core.RequestHandlers; created /admin/: org.apache.solr.handler.admin.AdminHandlers
INFO  - 2013-06-26 16:27:37.082; org.apache.solr.core.RequestHandlers; created /admin/: org.apache.solr.handler.admin.AdminHandlers
INFO  - 2013-06-26 16:27:37.084; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2013-06-26 16:27:37.084; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
WARN  - 2013-06-26 16:27:37.090; org.apache.solr.core.RequestHandlers; Multiple default requestHandler registered ignoring: org.apache.solr.handler.StandardRequestHandler
INFO  - 2013-06-26 16:27:37.090; org.apache.solr.core.RequestHandlers; created /solr: solr.SearchHandler
WARN  - 2013-06-26 16:27:37.090; org.apache.solr.core.RequestHandlers; Multiple default requestHandler registered ignoring: org.apache.solr.handler.StandardRequestHandler
INFO  - 2013-06-26 16:27:37.091; org.apache.solr.core.RequestHandlers; created /solr: solr.SearchHandler
INFO  - 2013-06-26 16:27:37.092; org.apache.solr.core.RequestHandlers; created /pdap: gov.nasa.pds.search.PDAPHandler
INFO  - 2013-06-26 16:27:37.092; org.apache.solr.core.RequestHandlers; created /pdap: gov.nasa.pds.search.PDAPHandler
INFO  - 2013-06-26 16:27:37.093; org.apache.solr.core.RequestHandlers; created /search: gov.nasa.pds.search.PDSSearchProtocol
INFO  - 2013-06-26 16:27:37.093; org.apache.solr.core.RequestHandlers; created /search: gov.nasa.pds.search.PDSSearchProtocol
INFO  - 2013-06-26 16:27:37.107; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2013-06-26 16:27:37.107; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2013-06-26 16:27:37.134; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@1c6cc9c main
INFO  - 2013-06-26 16:27:37.153; org.apache.solr.update.CommitTracker; Hard AutoCommit: disabled
INFO  - 2013-06-26 16:27:37.154; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2013-06-26 16:27:37.180; org.apache.solr.core.SolrCore; [experimental] Registered new searcher Searcher@1c6cc9c main{StandardDirectoryReader(segments_1:1319486777553)}
INFO  - 2013-06-26 16:27:37.180; org.apache.solr.core.CoreContainer; registering core: experimental
INFO  - 2013-06-26 16:27:37.188; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@749cd006 main
INFO  - 2013-06-26 16:27:37.197; org.apache.solr.update.CommitTracker; Hard AutoCommit: disabled
INFO  - 2013-06-26 16:27:37.197; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2013-06-26 16:27:37.198; org.apache.solr.core.CoreContainer; registering core: pds
INFO  - 2013-06-26 16:27:37.199; org.apache.solr.core.SolrCore; [pds] Registered new searcher Searcher@749cd006 main{StandardDirectoryReader(segments_2:3 _0(4.3):C59/1)}
INFO  - 2013-06-26 16:27:37.200; org.apache.solr.servlet.SolrDispatchFilter; user.dir=/Users/jpadams/Documents/workspace/pds4-workspace/search/search-ui/search-ui-1.2.1
INFO  - 2013-06-26 16:27:37.200; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2013-06-26 16:31:24.517; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2013-06-26 16:31:24.530; org.apache.solr.core.SolrResourceLoader; Using JNDI solr.home: /usr/local/search-service
INFO  - 2013-06-26 16:31:24.537; org.apache.solr.core.CoreContainer$Initializer; looking for solr config file: /usr/local/search-service/solr.xml
INFO  - 2013-06-26 16:31:24.539; org.apache.solr.core.CoreContainer; New CoreContainer 1448425944
INFO  - 2013-06-26 16:31:24.540; org.apache.solr.core.CoreContainer; Loading CoreContainer using Solr Home: '/usr/local/search-service/'
INFO  - 2013-06-26 16:31:24.540; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/usr/local/search-service/'
INFO  - 2013-06-26 16:31:24.542; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/search-service/lib/commons-logging-1.0.4.jar' to classloader
INFO  - 2013-06-26 16:31:24.542; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/search-service/lib/log4j-1.2.16.jar' to classloader
INFO  - 2013-06-26 16:31:24.542; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/search-service/lib/saxon-9.jar' to classloader
INFO  - 2013-06-26 16:31:24.542; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/search-service/lib/saxon-dom-9.jar' to classloader
INFO  - 2013-06-26 16:31:24.542; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/search-service/lib/search-service-1.3.0-dev.jar' to classloader
INFO  - 2013-06-26 16:31:24.543; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/search-service/lib/slf4j-api-1.6.6.jar' to classloader
INFO  - 2013-06-26 16:31:24.543; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/search-service/lib/slf4j-log4j12-1.6.6.jar' to classloader
INFO  - 2013-06-26 16:31:24.543; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/search-service/lib/solr-velocity-4.3.0.jar' to classloader
INFO  - 2013-06-26 16:31:24.818; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2013-06-26 16:31:24.818; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: http://
INFO  - 2013-06-26 16:31:24.819; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2013-06-26 16:31:24.819; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2013-06-26 16:31:24.819; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2013-06-26 16:31:24.820; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2013-06-26 16:31:24.820; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2013-06-26 16:31:24.820; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
